,precision,recall,f1-score,support
Far,0.8991825613079019,0.8549222797927462,0.8764940239043825,386.0
Mid,0.6961325966850829,0.586046511627907,0.6363636363636364,215.0
Near,0.2523364485981308,0.5,0.33540372670807456,54.0
accuracy,0.7374045801526717,0.7374045801526717,0.7374045801526717,0.7374045801526717
macro avg,0.6158838688637052,0.6469895971402178,0.6160871289920311,655.0
weighted avg,0.7792048017960946,0.7374045801526717,0.7530636279198618,655.0
